aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
1,Dr. Vitor Gabriel Castro,isabelcosta@example.net,Design Gráfico,Trancado,A,Feminino,61,1,7481,0,0,Casado(a),4,3,Teoria do Design,Pietro Pinto,9.55,7,Regular,Tipografia,Olívia Vargas,9.58,8,Regular,Design Editorial,Thomas da Mata,2.1,6,Ruim,Design Digital,Francisco Vasconcelos,5.48,12,Ruim,Design de Interfaces,Sofia Rezende,8.69,13,Ruim,1
2,Catarina Pacheco,camposlorena@example.net,Moda,Matriculado,D,Femeadoa,49,0,9708,1,1,Amasiado(a),5,1,Design de Moda,Olívia Cavalcante,6.78,9,Regular,História da Moda,Sr. Lucca Brito,9.0,1,Excelente,Marketing da Moda,Noah Moura,4.5,0,Ruim,Gestão de Moda,Sr. Joaquim Macedo,6.82,3,Regular,Produção de Moda,Henry Gabriel Costela,3.78,2,Ruim,1
3,André Ramos,melovinicius@example.com,Engenharia Ambiental,Cancelado,B,Feminino,69,0,3813,1,1,Separado(a),2,3,Ecologia,Leonardo Cirino,8.57,2,Excelente,Tecnologias Ambientais,Letícia Silva,4.04,14,Ruim,Sistemas de Gestão Ambiental,Josué Fogaça,2.24,10,Ruim,Política Ambiental,Dr. Paulo Novaes,5.05,14,Ruim,Gestão Ambiental,Ravi Cavalcante,1.18,14,Ruim,1
4,Julia Câmara,bcavalcante@example.org,Gestão Comercial,Concluso,C,Masculino,-93248,1,5763,0,1,Divorciado(a),8,3,Marketing e Vendas,Maria Machado,6.27,0,Regular,Gestão de Estoques,Dr. Calebe Camargo,6.37,1,Regular,Gestão de Relacionamento,Srta. Ana Carolina Guerra,6.51,11,Ruim,Gestão de Vendas,Rhavi Vieira,6.41,15,Ruim,Comportamento do Consumidor,Nicole Gomes,8.27,14,Ruim,1
5,Zoe Viana,anna-liz69@example.net,Gastronomia,Trancado,A,Masculino,34,1,,0,1,naoencontrado,5,4,Gestão de Restaurante,Dra. Bruna da Costa,2.26,13,Ruim,Nutrição e Dietética,Theo Caldeira,8.51,1,Excelente,Cultura Gastronômica,Maria Fernanda Nascimento,3.13,11,Ruim,Técnicas Culinárias,Pietra Montenegro,1.54,13,Ruim,Culinária Internacional,Matteo Garcia,6.12,12,Ruim,1
6,José Pedro Pacheco,pcostela@example.org,Ciências Contábeis,Trancado,D,Outro,21,0,7113,0,0,Solteiro(a),6,1,Contabilidade Tributária,Benício Sousa,5.1,10,Regular,Contabilidade de Custos,Bruna Vargas,1.06,14,Ruim,Auditoria,Nina Sales,6.65,15,Ruim,Análise Financeira,Dr. Théo Sampaio,7.02,13,Ruim,Contabilidade Geral,Maria Alice Viana,7.33,10,Regular,0
7,Elisa Aragão,felipecamara@example.org,Engenharia Ambiental,Matriculado,A,INVALID,18,1,8672,1,1,XW0S2#$@43,3,3,Gestão Ambiental,Cauã Correia,0.21,3,Ruim,Ecologia,Ana Luiza Rocha,0.66,6,Ruim,Política Ambiental,Sr. Benício Pinto,3.01,12,Ruim,Tecnologias Ambientais,Caroline Gomes,1.12,13,Ruim,Sistemas de Gestão Ambiental,Kamilly Rios,3.45,7,Ruim,1
8,Isabelly Fonseca,joao-miguel18@example.org,Ciências Contábeis,Trancado,A,Masculino,26,1,2968,1,0,Amasiado(a),7,3,Auditoria,Heitor Lopes,4.45,11,Ruim,Contabilidade de Custos,Ana Sophia Cassiano,3.51,11,Ruim,Contabilidade Geral,José Moreira,6.55,3,Regular,Análise Financeira,Raul da Paz,3.7,3,Ruim,Contabilidade Tributária,José Miguel Sousa,6.57,0,Regular,1
9,Cauê Novaes,pedro-lucasrodrigues@example.com,Odontologia,Cancelado,D,Masculino,,0,4522,0,1,Separado(a),5,4,Anatomia Dental,Henry Peixoto,4.17,15,Ruim,Implantes,Sr. Oliver Marques,3.26,0,Ruim,Periodontia,Mathias Peixoto,8.61,4,Bom,Radiologia Odontológica,Josué Fogaça,3.4,7,Ruim,Clínica Odontológica,Ana Vitória Castro,3.52,2,Ruim,0
10,Maria Fernanda Barros,carolinearagao@example.net,Gestão Comercial,Matriculado,A,Feminino,56,0,7190,1,1,Casado(a),7,2,Marketing e Vendas,Helena Azevedo,6.6,9,Regular,Gestão de Vendas,Dr. Marcos Vinicius da Mata,3.21,7,Ruim,Comportamento do Consumidor,Sr. Leonardo Câmara,7.99,13,Ruim,Gestão de Relacionamento,Bianca Montenegro,4.13,5,Ruim,Gestão de Estoques,Vinícius Souza,4.18,5,Ruim,1
